"q5","q25","q50","q75","q95","id","baseweek","start","end","q95old","window","basedate","startdate","enddate"
1,2,3,3,5,"11","2010W25","2009W37","2009W45",16,"8",2010-06-20,2009-09-13,2009-11-08
1,1,2,3,5,"11","2010W25","2009W19","2009W45",16,"26",2010-06-20,2009-05-10,2009-11-08
1,1,2,3,5,"11","2010W25","2008W46","2009W45",16,"52",2010-06-20,2008-11-09,2009-11-08
1,3,4,6,7,"11","2010W26","2010W12","2010W16",5,"4",2010-06-27,2010-03-21,2010-04-18
1,3,5,6,9,"11","2010W26","2010W08","2010W16",5,"8",2010-06-27,2010-02-21,2010-04-18
2,3,5,6,11,"11","2010W26","2009W42","2010W16",5,"26",2010-06-27,2009-10-18,2010-04-18
1,2,4,6,11,"11","2010W26","2009W16","2010W16",5,"52",2010-06-27,2009-04-19,2010-04-18
11,12,14,16,18,"11","2010W27","2010W01","2010W05",11,"4",2010-07-04,2010-01-03,2010-01-31
11,15,17,19,19,"11","2010W27","2009W49","2010W05",11,"8",2010-07-04,2009-12-06,2010-01-31
1,1,2,4,17,"11","2010W27","2009W31","2010W05",11,"26",2010-07-04,2009-08-02,2010-01-31
1,1,2,4,17,"11","2010W27","2009W05","2010W05",11,"52",2010-07-04,2009-02-01,2010-01-31
4,4,4,14,22,"11","2010W28","2009W42","2009W46",17,"4",2010-07-11,2009-10-18,2009-11-15
1,2,3,5,17,"11","2010W28","2009W38","2009W46",17,"8",2010-07-11,2009-09-20,2009-11-15
1,1,2,3,6,"11","2010W28","2009W20","2009W46",17,"26",2010-07-11,2009-05-17,2009-11-15
1,1,2,3,6,"11","2010W28","2008W47","2009W46",17,"52",2010-07-11,2008-11-16,2009-11-15
1,2,5,6,7,"11","2010W29","2010W13","2010W17",6,"4",2010-07-18,2010-03-28,2010-04-25
1,3,5,6,8,"11","2010W29","2010W09","2010W17",6,"8",2010-07-18,2010-02-28,2010-04-25
1,3,5,6,11,"11","2010W29","2009W43","2010W17",6,"26",2010-07-18,2009-10-25,2010-04-25
1,2,4,6,10,"11","2010W29","2009W17","2010W17",6,"52",2010-07-18,2009-04-26,2010-04-25
10,10,10,14,18,"11","2010W30","2010W04","2010W08",11,"4",2010-07-25,2010-01-24,2010-02-21
10,10,13,17,18,"11","2010W30","2009W52","2010W08",11,"8",2010-07-25,2009-12-27,2010-02-21
1,1,3,5,18,"11","2010W30","2009W34","2010W08",11,"26",2010-07-25,2009-08-23,2010-02-21
1,1,2,4,17,"11","2010W30","2009W08","2010W08",11,"52",2010-07-25,2009-02-22,2010-02-21
5,9,14,19,23,"11","2010W31","2009W43","2009W47",18,"4",2010-08-01,2009-10-25,2009-11-22
1,2,4,5,19,"11","2010W31","2009W39","2009W47",18,"8",2010-08-01,2009-09-27,2009-11-22
1,1,2,3,6,"11","2010W31","2009W21","2009W47",18,"26",2010-08-01,2009-05-24,2009-11-22
1,1,2,3,6,"11","2010W31","2008W48","2009W47",18,"52",2010-08-01,2008-11-23,2009-11-22
1,1,3,5,7,"11","2010W32","2010W16","2010W20",6,"4",2010-08-08,2010-04-18,2010-05-16
